from,to,relationship
anweber,nrwstiftung,2
judalhoffschereik,dbbnrw,4
judalhoffschereik,wdrmediagroup,2
tanackmayr,unternehmernrw,4
tanackmayr,landessozialgerichtessen,2
clschulte,handwerknrw,4
clschulte,handwerkskammerduesseldorf,2
clschulte,buergerschaftsbanknrw,2
clschulte,landesbürgschaftsausschussnrw,2
clschulte,stiftunggeorgschulhoff,2
suschulzebockeloh,landwirtschaftsverbaendenrw,4
suschulzebockeloh,deutscherbauernverband,2
suschulzebockeloh,agravisraiffeisen,2
suschulzebockeloh,mcchallemuensterland,2
suschulzebockeloh,landwirtschaftlicherentenbank,2
suschulzebockeloh,stiftunglandschaftwestfalen,2
suschulzebockeloh,cdu,3
daschneckenburger,staedtetagnrw,4
daschneckenburger,staedteundgemeindebundnrw,2
daschneckenburger,landkreistagnrw,2
daschneckenburger,bundesstiftunggleichstellung,2
daschneckenburger,hausdergeschichtenrw,2
daschneckenburger,nrwstiftung,2
daschneckenburger,kulturstiftungdesbundes,2
daschneckenburger,stiftungfussballkultur,2
daschneckenburger,stiftungnaturschutznrw,2
daschneckenburger,landesweiterbildungsratnrw,2
daschneckenburger,volkshochschulverband,2
daschneckenburger,gruene,3
hasuergit,wohlfahrtspflegenrw,4
hasuergit,drkwestfalenlippe,2
hasuergit,drkkinderkliniksiegen,2
hasuergit,sozialstiftungnrw,2
mabecker,landesarbeitsgemeinschaftnrw,4
mabecker,fauenratnrw,2
mabecker,elternerziehernrw,2
mabecker,zukunftsforumfamilie,2
mabecker,arbeitsgemeinschaftfamilienrw,2
mabecker,familienarbeiterwohlfahrtnrw,2
bekinkel,quueresnetzwerknrw,4
bekinkel,arcusstiftung,2
bekinkel,bundesstiftungmagnushirschfeld,2
gihinnemann,landessportbundnrw,4
gihinnemann,cdu,3
gihinnemann,deutschereiterlichevereinigung,2
gihinnemann,sportstiftungnrw,2
gihinnemann,deutschessportmuseum,2
hezanderhayat,verbrauchernrw,4
hezanderhayat,trustedshops,2
hezanderhayat,landespraeventionsratnrw,2
hezanderhayat,wdrmediagroup,2
hezanderhayat,schlichtungsstellenahverkehr,2
lulorenz,landesjugendringnrw,4
lulorenz,ratderstadtkoeln,2
lulorenz,landschaftsversammlungrheinland,2
lulorenz,spd,3
sieilers,denkmalpflegelandschaftsschutz,2
sieilers,lippischerheimatbund,2
sieilers,westfaelischerheimatbund,4
sieilers,nrwstiftung,2
sieilers,stiftungwestfaelischekultur,2
sieilers,auslandsgesellschaftde,2
makohler,sozialverbanddeutschland,4
makohler,seniorenbeiratrheda,2
miwenge,bergischeihk,4
miwenge,dihk,2
miwenge,uniwuppertal,2
cotiwisina,bitkom,4
cotiwisina,eco,2
cotiwisina,vodafone,2
cotiwisina,unitymedianrw,2
cotiwisina,arte,2
cotiwisina,deutschfranzkreis,2
cotiwisina,csu,3
vipeveling,familienunternehmernrw,4
vipeveling,wirtschaftsjuniorennrw,2
vipeveling,verbandfreieberufenrw,2
vipeveling,agenturlifetimefilms,2
vipeveling,bavariafilm,2
hovoege,sozialverbandvdknrw,4
hovoege,spd,3
geascheid,landesbehindertenratnrw,4
geascheid,lebenshilfenrw,2
geascheid,lebenshilfeaachen,2
geascheid,paritwohlfahrtsverbandnrw,2
kssakalsek,landesintegrationsratnrw,4
kssakalsek,antirassismusnrw,2
kssakalsek,rhenusfreightlogistics,2
kssakalsek,maedchenfrauensozialarbeit,2
kssakalsek,metropolregionrheinland,2
kabuescher,landesseniorenvertretungnrw,4
kabuescher,verbrauchernrw,2
kabuescher,seniorenbeiratrheda,2
dikosslick,filmmediennrw,4
dikosslick,filmbueronw,2
dikosslick,berlinale,2
dikosslick,unibabelsberg,2
dikosslick,dresdnermusikfestspiele,2
peschmitz,kulturratnrw,4
peschmitz,netzwerkfilmkulturnrw,2
hestumpf,landesmusikratnrw,4
hestumpf,landesmusikakademienrw,2
frvanduiven,verbandbildenderkuenstler,4
frvanduiven,stadtbaukulturnrw,2
frvanduiven,kulturnetzkoeln,2
frvanduiven,filmmedienstiftungnrw,2
mischuerg,igmetallnrw,4
mischuerg,spd,3
doklee,rektorenkonferenzunisnrw,4
doklee,rektorenkonferenzhochschulennrw,2
doklee,uniwuerzburg,2
doklee,initiativeaachen,2
doklee,actoophthalmologieforschung,2
pefreitag,verdinrw,4
pefreitag,dju,2
pefreitag,expertgroupeuropjournalisten,2
pefreitag,rheinischeredaktionsgemeinschaft,2
pefreitag,sozialfondkoelnerjournalisten,2
chhuelsmeier,igbcenrw,4
chhuelsmeier,volkshochschulennrw,2
chhuelsmeier,lausitzenergiebergbau,2
anbartz,genossbuehnenangehoerigenrw,4
anbartz,landesmusikratnrw,2
anbartz,theaterbonn,2
anbartz,filmmedienstiftungnrw,2
pewahl,europaunionnrw,4
pewahl,grachtenparkaasee,2
pewahl,debritfranzgesellschaft,2
pewahl,fdp,3
bezimmer,aerztekammerwestfalen,4
bezimmer,ingenieurkammerbaunrw,2
bezimmer,deutscheranwaltvereinnrw,2
bezimmer,steuerberatervereinnrw,2
bezimmer,verbandfreieberufenrw,2
bezimmer,bundesbanknrw,2
bezimmer,aerztekammernordrhein,2
hekeilhofer,deutschermieterbundnrw,4
hekeilhofer,colognealliance,2
hekeilhofer,staedtepartnerschaftkoelnbarcelona,2
niheitzig,landesjagdverbandnrw,4
niheitzig,deutschewildtierrettung,2
niheitzig,stiftungwestfaelischekultur,2
niheitzig,wildtierbiotopschutznrw,2
salipan,literaturratnrw,4
salipan,buecherfrauen,2
salipan,deutscheschriftsteller,2
salipan,friedrichboedeckerkreis,2
salipan,gesellschaftliteraturnrw,2
isgronackwa,kinderreichefamilien,4
isgronackwa,zontaclubkoeln,2
isgronackwa,bpwgermanyclub,2
isgronackwa,berufstaetigemuetter,2
isgronackwa,colognedigital,2
alkehr,akf,2
alkehr,akf,4
alkehr,thueringerehrenamtsstiftung,2
anfeiks,landtagsachsen,4
anfeiks,landtagsachsen,2
anfeiks,linke,3
annowak,landtagsachsen,2
annowak,kultursenatsachsen,2
annowak,versorgungverkehrleipzig,2
annowak,verkehrsbetriebeleipzig,2
annowak,iftec,2
annowak,zvnl,2
annowak,stadtratleipzig,2
annowak,dtverkehrswacht,2
annowak,landesverkehrswachtsachsen,2
annowak,operleipzig,2
annowak,mittelstandsundwirtschaftsunionsachsen,2
annowak,cdu,3
beziesch,epvm,2
beziesch,domowina,2
chmaier,evangelischeakademiesa,4
chmaier,evangelischeakademiesa,2
chwagner,evkirchethueringen,2
chwagner,mobit,2
dibauer,freiewohlfahrtspflegesachsen,2
dibauer,evangelischehochschulesoziales,2
dibauer,ezvkdarmstadt,2
dibauer,evangelischermedienverbandsachsen,2
dibauer,evangelischerkrankenhausverbandsachsen,2
dibauer,bbwleipzig,2
dibauer,diakoniesachsen,4
dibauer,diakoniesachsen,2
diherz,saechsischerheimatschutz,4
diherz,saechsischerheimatschutz,2
dipanter,landtagsachsen,2
dipanter,spd,3
dipanter,leipzigerdokfilmwochen,3
dipanter,aufbaubanksachsen,3
dipanter,scdhfkleipzig,3
ekkulakova,juedischegemeindendresden,2
ekkulakova,juedischegemeindensachsen,4
ekkulakova,juedischegemeindensachsen,2
frkuehn,kulturverbandsachsen,4
frkuehn,kulturverbandsachsen,2
frnemetz,vossachsen,2
frschoenborn,tbbthueringen,2
frschoenborn,wuestenrot,2
frschoenborn,tlbg,2
frschoenborn,dbb,2
gukosmehl,landtagsachsenanhalt,4
gukosmehl,landtagsachsenanhalt,2
gukosmehl,traegerwerksozialedienste,2
gukosmehl,fdp,3
hamauer,handwerkstagsa,2
hegraichen,landkreistagsachsen,4
hegraichen,landkreistagsachsen,2
hegraichen,cdu,3
hehilker,djvsachsen,4
hehilker,djvsachsen,2
hehilker,linke,3
irherfurth,dbbsachsenanhalt,4
irherfurth,dbbsachsenanhalt,2
irherfurth,dtsteuergewerkschaftsa,2
irherfurth,finanzsportgemeinschaftsa,2
joleibiger,sbsthueringen,2
joleibiger,ttg,2
joleibiger,blindenverbandthueringen,4
joleibiger,blindenverbandthueringen,2
kabeberhold,ihk,2
kabeberhold,agrarburgscheidungen,2
kabeberhold,bauernverbandsachsenanhalt,4
kabeberhold,bauernverbandsachsenanhalt,2
kamitteldorf,landtagthueringen,2
kamitteldorf,linke,3
kamitteldorf,stadtratnordhausen,2
kamitteldorf,dtchorverband,2
kamitteldorf,thueringerchorverband,2
kaostermann,stadtjena,2
kaostermann,filmjena,2
kaostermann,landesjugendringthueringen,4
kaostermann,landesjugendringthueringen,2
kasethi,migrantenorganisationensachsen,2
klkloetzner,stadtwerkeglauchau,2
klkloetzner,stadtbauundwohnungsglauchau,2
klkloetzner,überlandwerkeglauchau,2
klkloetzner,stadtratglauchau,2
klkloetzner,cdu,3
klkloetzner,stiftungjugend,2
klkloetzner,kloetznerwerbemittelservice,2
klkloetzner,adacsachsen,4
klkloetzner,adacsachsen,2
maboehme,ltvsachsen,4
maboehme,ltvsachsen,2
maboehme,meilertharandt,2
mafangohr,lsvdsa,4
mafangohr,easygastromagdeburg,2
maforßbohm,sht,4
maforßbohm,forßbohmundsoehnebauunternehmen,2
maforßbohm,handwerkskammerleipzig,2
maforßbohm,lgh,2
maforßbohm,signalidunakv,2
maforßbohm,ikk,2
maforßbohm,sparkasseleipzig,2
maforßbohm,verlagsanstalthandwerk,2
malanghof,clusteritmitteldeutschland,2
malanghof,itmultimediaindustriesa,2
malanghof,metallelektroindustriesa,2
malanghof,agundwrverbaendessa,4
malanghof,agundwrverbaendessa,2
maschlimbach,igrelan,2
maschlimbach,arbeitlebensachsen,2
maschlimbach,dgbsachsen,2
mavoigt,landtagthueringen,2
mavoigt,cdu,3
miziche,landkreistagsachsenanhalt,4
miziche,landkreistagsachsenanhalt,2
miziche,cdu,3
miziche,lag,2
miziche,sparkassealtmarkwest,2
nigbur,demokratischebildungsarbeit,4
nigbur,demokratischebildungsarbeit,2
olgreie,dgbsachsenanhalt,2
olgreie,verdi,4
olgreie,verdi,2
olgreie,deutscheboerseag,2
olgreie,aoksa,2
olgreie,bundesagenturfuerarbeitsachsen,2
phnitsche,caritasbistumerfurt,2
phnitsche,klinikenpsychiatrie,2
phnitsche,altenzentrumluisenhaus,2
phnitsche,christkrankenhauseisenach,2
phnitsche,christophoruswerk,2
phnitsche,kathaltenpflegeheimeeichsfeld,2
rekraushaar,landesregierungsachsen,4
rekraushaar,landesregierungsachsen,2
rekraushaar,cdu,3
rohoffmann,iad,2
rohoffmann,bundthueringen,4
rohoffmann,bundthueringen,2
rohoffmann,naturstiftungdavid,2
rohoffmann,arbeitundlebenthueringen,2
sasieber,ihksachsen,2
sasieber,arte,2
sawitt,dgbthueringen,2
sawitt,arte,2
sawitt,linke,3
sescholz,djvthueringen,2
siborgwardt,landtagsachsenanhalt,4
siborgwardt,landtagsachsenanhalt,2
siborgwardt,schuetzenverein,2
siborgwardt,cdu,3
sireeder,landesregierungthueringen,2
stgebhardt,landtagsachsenanhalt,4
stgebhardt,landtagsachsenanhalt,2
stgebhardt,wohnungsgesellschafthettstadt,2
stgebhardt,lottototosa,2
stgebhardt,linke,3
strether,katholischekirchesa,2
stschikor,deutscherkinderschutzbund,2
stschikor,gruene,3
stschikor,stadtverwaltungnaumburg,2
stschikor,landesfrauenratsa,2
tazieschang,dtevkirchentag,2
tazieschang,konradadenauerstiftung,2
tazieschang,landesregierungsa,2
tazieschang,cdu,3
thmalcherek,handwerksverbandthue,4
thmalcherek,handwerkskammererfurt,2
thmalcherek,buergschaftsbankthueringen,2
thmalcherek,inter,2
thmalcherek,signalidunakv,2
thmalcherek,mittelstaendischebeteiligungsgesellschaft,2
ulfranzen,landessportbundsachsen,4
ulfranzen,landessportbundsachsen,2
ulfranzen,sportparkrabenberg,2
ulfranzen,industrieclubsachsen,2
