from,to,relationship
stschenk,foerderjuedischerfriedhofweißensee,2
stschenk,freundekinotoni,2
stschenk,leadershipberlin,2
stschenk,foerdergedenkorttvier,2
stschenk,kinderreichefamilien,2
stschenk,dtfamilienverband,2
stschenk,absolventum,2
disiegfried,lesbenschwulenverband,4
disiegfried,lsdvbb,2
disiegfried,basj,2
disiegfried,bavberlin,2
erstohn,landtagbrandenburg,4
erstohn,spd,3
erstohn,oberlinhaus,2
erstohn,stiftungschlosswiepersdorf,2
erstohn,stadtjuetebog,2
erstohn,kreistagtf,2
erstohn,stiftungmbs,2
erstohn,foerderunggsgymnasium,2
erstohn,foerderungwiesenschule,2
erstohn,fsvluckenwalde,2
erstohn,dlrgluckenwalde,2
noheise,marzahnertor,2
noheise,lkrpberlin,4
dothie,hwkpotsdam,2
dothie,mittelstandsvereinbm,2
dothie,mz,2
dothie,hwkberlin,4
votoennies,spd,3
votoennies,havellaendischeeisenbahn,2
votoennies,eisenbahnniderbarnimer,2
votoennies,vberlinbrandenburg,2
votoennies,mibraburgsparkasse,2
votoennies,oberhavelkliniken,2
votoennies,spitzenverbaendebb,4
elhildebrandt,spd,3
elhildebrandt,lhfn,2
elhildebrandt,landtagbrandenburg,4
datripke,lsbbrandenburg,4
datripke,msvneuruppin,2
datripke,rcneuruppin,2
datripke,gemeindienstneuruppin,2
elkountidou,ndm,2
elkountidou,abgeordnetenhausberlin,4
dehohloch,rbb,1
detumlirsch,rbb,1
likanellos,rbb,1
anveiel,rbb,1
kakarger,rbb,1
nazivkovic,rbb,1
makoinzer,rbb,1
mahagemann,rbb,1
erstohn,rbb,1
noheise,rbb,1
dothie,rbb,1
frhemm,rbb,1
votoennies,rbb,1
elhildebrandt,rbb,1
datripke,rbb,1
elkountidou,rbb,1
frbecker,rbb,1
reauster,rbb,1
chamsinck,rbb,1
ankuehnemann,rbb,1
jajazairi,rbb,1
mekuehnemann,rbb,1
anfaber,rbb,1
sanachama,rbb,1
frfeuerschuetz,rbb,1
kariedel,rbb,1
hageywitz,rbb,1
svrissmann,rbb,1
chgoiny,rbb,1
stschenk,rbb,1
digolze,rbb,1
disiegfried,rbb,1
chade,bayerischerbauernverband,4
chade,csu,3
mabeck,aerztlicherkreisverbandaugsburg,2
mabeck,aerztlicherbezirksverbandschwaben,2
mabeck,landesaerztekammerbayern,2
mabeck,bayerischeaerzteversorgung,2
mabeck,verbandfreierberufebayern,4
babecker,landtagbayern  ,4
babecker,evangelischerarbeitskreisunterfranken,2
babecker,evangelischerarbeitskreisbayern,2
babecker,leader,2
babecker,evangelischeschulstiftungbayern,2
babecker,csu,3
babecker,kreistagkitzingen,3
babecker,klinikkitzingerland,3
babecker,lpbbayern,3
baebenkenstein,stadtfreyung,2
baebenkenstein,kdfb,4
baebenkenstein,soroptimistpassau,2
vrbertsch,stadtneumarkt,2
vrbertsch,saengerbundbayern,2
vrbertsch,musikratbayern,4
jobeyer,evangelischlutherischekirchebayern,2
jobeyer,evangelischefrauenbayern,4
jobeyer,elkbstiftung,2
jobeyer,def,2
uwbrandl,stanglmeierstiftung,2
uwbrandl,sparkassebayern,2
uwbrandl,dstgb,2
uwbrandl,gemeindetagbayern,4
uwbrandl,bayernwerk,2
uwbrandl,telekom,2
uwbrandl,kommunalmagazin,2
uwbrandl,csu,3
dibreit,evangelischlutherischekirchebayern,4
dibreit,obdachlosenhilfebayern,2
ildanziger,israelitischekultusgemeinden,4
ildanziger,juedischegemeinderegensburg,2
hadipama,agaby,4
hadipama,rassismusfreiesbayern,2
hadipama,fluechtlingsratbayern,2
sedorny,bayerischestaatsoper,4
sedorny,queenelisbabethmusiccompetition,2
aldorow,csu,3
aldorow,landtagbayern  ,4
aldorow,katholischepublizisten,2
aldorow,roteskreuzbayern,2
aldorow,macromedia,2
aldorow,goerres,2
aldorow,youngamerica,2
aldorow,theaterschondorf,2
aldorow,dorfundlandentwicklungthierhaupten,2
aldorow,stiftungamerikahausbayern,2
aldorow,kreistaglandsberg,2
aldorow,thaugsburg,2
aldorow,hausgeschichtebayern,2
aldorow,justizvollzuglandsberg,2
maeglauer,vhsebersberger,4
maeglauer,vhsverbandbayern,2
sifleischmann,bayerischerlehrerverband,4
sifleischmann,dbbakademie,2
sifleischmann,adlerversicherung,2
sifleischmann,axaversicherung,2
sifleischmann,nuernbergerversicherung,2
sifleischmann,deutscherschulpreis,2
alfriedrich,erzdioezoesemuenchen,2
alfriedrich,katholischekirche,4
alfriedrich,bonifatius,4
alfriedrich,caritas,4
alfriedrich,donbosco,4
hegreif,csu,3
hegreif,bayerischerbauernverband,4
thhabermann,csu,3
thhabermann,landkreisrhoengrabfeld,4
thhabermann,katholischestudentenverbindung,2
vohalbleib,landtagbayern,4
vohalbleib,spd,3
vohalbleib,akademiefrankenwarte,2
vohalbleib,awo,2
vohalbleib,vdksozialverband,2
vohalbleib,verdi,2
vohalbleib,dbbbayern,2
vohalbleib,awrgesellschaft,2
vohalbleib,sudetenlandsmannschaft,2
vohalbleib,naturfreunde,2
vohalbleib,bundnaturschutz,2
vohalbleib,verkehrsclubdeutschland,2
vohalbleib,frankenbund,2
vohalbleib,universitaetsbundwuerzburg,2
vohalbleib,mainfraenkischekunst,2
vohalbleib,leonhardfrankgesellschaft,2
vohalbleib,caritasschulengmbh,2
vohalbleib,dlrgbayern,2
vohalbleib,kreisratwuerzburg,2
vohalbleib,stadtratochsenfurt,2
luhartmann,landtagbayern,4
luhartmann,gruene,3
luhartmann,finkundhartmann,2
flherrmann,staatsregierungbayern,4
flherrmann,csu,3
flherrmann,kreisratfreising,2
flherrmann,hochschulephilosophiemuenchen,2
flherrmann,jugendwerkbirkeneck,2
flherrmann,filmfernsehfondsbayern,2
flherrmann,buergerstiftungfreising,2
flherrmann,iffse,2
flherrmann,stiftungwertebuendnisbayern,2
flherrmann,verkehrswachtbayern,2
flherrmann,feuerwehrverbandbayern,2
flherrmann,kathmaennertuntenhausen,2
klholetschek,landtagbayern,4
klholetschek,csu,3
klholetschek,kneippbund,2
klholetschek,sparkassememmingen,2
klholetschek,heilbaederbayern,2
klholetschek,tourismusallgaeu,2
klholetschek,allgaeugmbh,2
klholetschek,tourismusbayerngmbh,2
klholetschek,brmedia,2
klholetschek,kwa,2
klholetschek,kinderklinikgarmisch,2
mehuml,landtagbayern,4
mehuml,csu,3
mehuml,universitaetbamberg,2
mehuml,zirkusgiovanni,2
mehuml,oberfrankenoffensiv,2
mehuml,freundeskreisbambergerdom,2
mehuml,freundebambergersymphoniker,2
mehuml,dlrgbayern,2
mehuml,ulrichgesslerstiftung,2
mehuml,hannsseidelstiftung,2
mehuml,normenkontrollratbayern,2
mehuml,kinderhospizmuenchen,2
mehuml,freundebayreuth,2
mehuml,landesstiftungbayern,2
frhuepers,handwerkskammerbayern,4
frhuepers,handwerkszeitungdhz,2
frhuepers,foerderbankbayern,2
frhuepers,gewerbearchiv,2
luklemens,bayernwerk,2
luklemens,dakgesundheit,2
luklemens,bundesagenturfuerbayern,4
rakleybolte,gymnasienbayern,4
chknauer,landkreisaichach,2
chknauer,vertriebenebayern,4
chknauer,fluchtvertreibungversoehnung,2
chknauer,ostdeutschegalerieregensburg,2
chknauer,sudetenlandsmannschaft,2
chknauer,kriegerkameradschaftaichach,2
chknauer,sisifreundeunterwittelsbach,2
jokohler,stadtnuernberg,2
jokohler,landtagbayern,4
jokohler,motorsportclubnuernberg,2
jokohler,csu,3
sakurz,landtagbayern,4
sakurz,hausgeschichtebayern,2
sakurz,stiftungneueskonzerthaus,2
sakurz,paulklingerkuenstlersozialnetzwerk,2
axlinstaedt,carlorffstiftung,2
axlinstaedt,komponistenorganisationen,4
femang,landtagbayern,4
femang,afd,3
chmoser,kreisstadtdeggendorf,2
chmoser,staedtetagbayern,4
chmoser,stadtwerkedeggendorf,2
chmoser,stadtbaudeggendorf,2
chmoser,stadtparkendeggendorf,2
chmoser,stadthallendeggendorf,2
chmoser,itcgmbh,2
chmoser,grundstuecksgmbh,2
chmoser,vhsdeggendorferland,2
chmoser,donauhafendeggendorf,2
chmoser,wasserversorgungbayerischerwald,2
chmoser,versicherungskammerbayern,2
chmoser,dietergoerlitzstiftung,2
chmoser,stiftunginternationalerstudentenaustausch,2
chmoser,maxgallingerstiftung,2
chmoser,malteserdeggendorf,2
chmoser,caritasratdeggendorf,2
chmoser,freundethdeggendorf,2
thneumann,handelskammermuenchen,4
thneumann,medienbayerngmbh,2
runeumaier,heimatpflegebayern,2
runeumaier,heimattagbayern,4
runeumaier,rosnerseidlstiftung,2
runeumaier,fischereiundgewaesserpflege,2
runeumaier,hausgeschichtebayern,2
runeumaier,bavarikon,2
runeumaier,kulturerbebayern,2
runeumaier,foerderstiftungessayistik,2
benolte,landtagbayern,4
benolte,afd,3
benolte,burschenschaftsaxonia,2
benolte,burschenschaftdanubia,2
mipiazolo,landtagbayern,4
mipiazolo,akademiepolitischebildungtutzing,2
mipiazolo,stiftungkonzerthaus,2
mipiazolo,europaunionbayern,2
mipiazolo,fw,3
rugodehard,universitaetbamberg,4
rugodehard,peterhammerverlag,2
rugodehard,virtuellehochschulebayern,2
rugodehard,bavariafilm,2
rugodehard,brmedia,2
geschermer,vgwort,4
geschermer,kulturschmiedesendlingen,2
klschmoeller,mtvingolstadt,2
klschmoeller,landessportverbandbayern,4
klschmoeller,deutscherolympischersportbund,2
saschuhmann,evkirchebayern,2
saschuhmann,diakonischeswerkbayern,2
saschuhmann,evstiftunghospiz,2
saschuhmann,evaktionsgemeinschaftfamilienfragen,2
saschuhmann,krankenhausgesellschaftbayern,2
saschuhmann,frauenwerkstein,2
saschuhmann,evverbandaltenarbeit,2
saschuhmann,evjugendsozialarbeitbayern,2
saschuhmann,evkitaverbandbayern,2
phseitz,jugendringbayern,4
phseitz,katholischelandjugend,2
phseitz,pfarrgemeinschaftbarbing,2
chseuß,lagselbsthilfebayern,4
chseuß,hoerbuechereibayern,2
chseuß,johannauerstiftung,2
pasiebertz,wirtschaftsvereinigungbayern,4
pasiebertz,stiftungbildungsaspektbayern,2
pasiebertz,universitaeteichstaett,2
pasiebertz,universitaetsgesellschaftmuenchen,2
pasiebertz,freundekatholischeakademiebayern,2
pasiebertz,residenzfreunde,2
pasiebertz,vereinstudentenhilfe,2
pasiebertz,freundedesmpz,2
bestiedl,dgbbayern,4
hastocker,journalistenbayern,4
hastocker,bavariaonefilm,2
hastocker,quintfilms,2
matrabusch,stadtwuerzburg,2
matrabusch,schauspielbayern,4
dotropper,stadterlangen,2
miweiß,regierungoberpfalz,2
miweiß,landessportverbandbayern,4
miweiß,csu,3
juwidmann,landtagbayern,4
juwidmann,fw,3
juwidmann,ameoskliniken,2
juwidmann,sparkasselandshut,2
juwidmann,freundeskreisfhlandshut,2
juwidmann,stadtlandshut,2
stwild,hotelgastgmbh,4
stwild,dehogabayern,2
mawunnike,mittelbayerischerverlag,2
mawunnike,zeitungsverlegerbayern,4
mawunnike,vereinkrebskrankekinderbayern,2
mawunnike,foerderakademiekunstbayern,2
chade,br,1
mabeck,br,1
babecker,br,1
baebenkenstein,br,1
vrbertsch,br,1
jobeyer,br,1
uwbrandl,br,1
dibreit,br,1
ildanziger,br,1
hadipama,br,1
sedorny,br,1
aldorow,br,1
maeglauer,br,1
sifleischmann,br,1
alfriedrich,br,1
hegreif,br,1
thhabermann,br,1
vohalbleib,br,1
luhartmann,br,1
flherrmann,br,1
klholetschek,br,1
mehuml,br,1
frhuepers,br,1
luklemens,br,1
rakleybolte,br,1
chknauer,br,1
jokohler,br,1
sakurz,br,1
axlinstaedt,br,1
femang,br,1
chmoser,br,1
thneumann,br,1
runeumaier,br,1
benolte,br,1
mipiazolo,br,1
rugodehard,br,1
geschermer,br,1
klschmoeller,br,1
saschuhmann,br,1
phseitz,br,1
chseuß,br,1
pasiebertz,br,1
bestiedl,br,1
hastocker,br,1
matrabusch,br,1
dotropper,br,1
miweiß,br,1
juwidmann,br,1
stwild,br,1
mawunnike,br,1
mepayandeh,dgb,4
mepayandeh,arcelormittalbremen,2
mepayandeh,arbeitundlebenniedersachsen,2
mepayandeh,vhshustedt,2
mepayandeh,spd,3
libudde,unternehmensverbaendeniedersachsen,4
libudde,hannoverrueck,2
fiabaci,integrationsratniedersachsen,4
febernard,kathkircheniedersachsen,4
febernard,bistumosnabrueck,2
febernard,universitaetosnabrueck,2
febernard,stpaulusgymnasialkirche,2
kaelste,lbuniedersachsen,4
,,
acengstler,vsverdiniedersachsen,4
acengstler,fernuniversitaethagen,2
acengstler,foerderkreisdtschriftstellerniedersachsen,2
acengstler,penberlin,2
utgottschaar,verdi,4
migruenberg,lagfwniedersachsen,4
migruenberg,juedischegemeindenniedersachsen,2
migruenberg,juedischegemeindeosnabrueck,2
imhaake,fdpniedersachsen,4
imhaake,fdp,3
imhaake,stadtgroßenkneten,2
huhebbelmann,bundniedersachsen,4
huhebbelmann,umweltministeriumniedersachsen,2
cohoeltkemeier,handwerkniedersachsen,4
cohoeltkemeier,bauwirtschaftniedersachsen,2
cohoeltkemeier,signaliduna,2
cohoeltkemeier,rentenversicherungbraunschweig,2
otholtz,gruene,3
otholtz,grueneniedersachsen,4
otholtz,help,2
otholtz,brueckederkulturenhildesheim,2
otholtz,landniedersachsen,2
hajagau,spdniedersachsen,4
hajagau,spd,3
hajagau,hannover96,2
hajagau,bissendorfconsulting,2
hajagau,eckertlaw,2
ankramer,dgbniedersachsen,4
ankramer,verdibildungswerk,2
jekruse,seniorenratniedersachsen,4
jekruse,evkirchehannover,2
jekruse,bagso,2
utkueck,samtgemeindeharsefeld,2
utkueck,staedteundgemeindebundniedersachsen,4
utkueck,trinkwasserstaderland,2
utkueck,kav,2
milanger,sportbundniedersachsen,4
milanger,fliegetalentmanufaktur,2
milanger,gruene,3
milanger,schachniedersachsen,2
milanger,sportbundbraunschweig,2
milanger,chesssports,2
lamesch,jugendringniedersachsen,4
lamesch,pfadfinderniedersachsen,2
lamesch,evkirchehannover,2
lamesch,jugendhilfehannover,2
jenacke,cduniedersachsen,4
jenacke,cdu,3
jenacke,ammerlaenderwohnung,2
jenacke,ewetel,2
jenacke,stiftunggedenkstaettenniedersachsen,2
jenacke,landtagniedersachsen,2
sipuppe,bundesagenturfuerarbeit,2
sipuppe,elternratniedersachsen,4
sipuppe,schulausschussgifhorn,2
sipuppe,kinderschutzbund,2
sipuppe,frauenzentrumgifhorn,2
sipuppe,buendnisfamilien,2
urrudnick,asf,4
urrudnick,evkirchehannover,2
urrudnick,martinbuberstiftung,2
urrudnick,christenundjudenniedersachsen,2
meschramme,frauenratniedersachsen,4
meschramme,gleichberechtigungundvernetzung,2
meschramme,regionhannover,2
clschueßler,spdniedersachsen,4
clschueßler,spd,3
clschueßler,klinikumhannover,2
clschueßler,ksghannover,2
clschueßler,proberuf,2
clschueßler,stiftungopferhilfeniedersachsen,2
clschueßler,landtagniedersachsen,2
diswinke,sovdniedersachsen,4
diswinke,medizinischediensteniedersachsen,2
diswinke,reichsbundstiftung,2
diswinke,dgvm,2
diswinke,meravisimmobilien,2
diswinke,bbwstendal,2
beunruh,erwachsenenbildungniedersachsen,4
beunruh,vhsverbandniedersachsen,2
beunruh,vhsverbanddeutschland,2
beunruh,akademiekulturelleswolfenbuettel,2
beunruh,feuerwehrverbandniedersachsen,2
kaibellstedt,awoschleswig,4
kaibellstedt,landschleswig,2
kaibellstedt,pflegeundgesundheitkreisploen,2
kaibellstedt,spd,3
gubecker,musikratschleswig,4
gubecker,hansebooks,2
gubecker,nordestedtmbh,2
gubecker,cdu,3
bebaeumer,erzbistumhamburg,4
bebaeumer,ardgremienkonferenz,2
bebaeumer,gedenkstaettenstiftungschleswig,2
bebaeumer,mvkiel,2
bebaeumer,abschiebungshaftglueckstadt,2
tibrockmann,cduschleswig,4
tibrockmann,cdu,3
tibrockmann,stadtpreetz,2
tibrockmann,buergerenergiegenossenschaftpreetz,2
nifickinger,uvnord,4
nifickinger,nordmetall,2
nifickinger,agenturfuerarbeit,2
nifickinger,nordakademie,2
nifickinger,wirtschafsverbandnord,2
nifickinger,unternehmensverbaendemeckpom,2
nifickinger,idw,2
sishessler,dgbnord,4
jeleutert,cduschleswig,4
jeleutert,cdu,3
jeleutert,stadtkiel,2
flmatz,mieterbundschleswig,4
flmatz,stadtflensburg,2
flmatz,mietervereinflensburg,2
flmatz,spd,3
flmatz,awoflensburg,2
flmatz,kulturhofflensburg,2
flmatz,evkircheflensburg,2
flmatz,matzautoteile,2
remueller,kinderschutzbundschleswig,4
remueller,landschleswig,2
miott,naturschutzschleswig,4
miott,stiftungnaturschutzschleswig,2
miott,stiftunggroenauerheide,2
kawulf,frauenberatungschleswig,4
thkaerst,evkirchenord,4
stszczupak,juedischegemeindehamburg,4
stszczupak,stiftungbornplatzsynagoge,2
utbertrand,robinwood,4
gabrasch,diakoniehamburg,4
gabrasch,passageggmbh,2
gabrasch,agfwjugendhilfe,
sagoldschmidt,dgbnord,4
sagoldschmidt,verdihamburg,2
sagoldschmidt,haspaag,2
sagoldschmidt,hgv,2
sagoldschmidt,medizinischerdienstnord,2
evhubert,gruenehamburg,4
evhubert,gruene,3
evhubert,filmfoerderunghamburg,2
evhubert,kulturstiftunghamburg,2
evhubert,kunsthochschulehamburg,2
haschmidt,spdhamburg,4
haschmidt,spd,3
haschmidt,wicegmbh,2
haschmidt,hamburgischebuergschaft,2
kaschroeder,arbeitsgruppekunsthamburg,4
kaschroeder,arthurboskampstiftung,2
kaschroeder,aktivregionauenland,2
kaschroeder,kulturbehoerdehamburg,2
antranziska,profem,4
antranziska,flaks,2
antranziska,gruene,3
thvolkmann,verbandfreierberufehamburg,4
thvolkmann,steuerberaterverbandhamburg,2
thvolkmann,dakgesundheit,2
thvolkmann,buergschaftsbankhamburg,2
anvoß,verbraucherzentralehamburg,4
hemueller,bauernverbandmeckpom,4
hemueller,bauernverbandmalchin,2
hemueller,wasserwerkderzukunft,2
hemueller,landfrauenmeckpom,2
frlietz,evkirchenord,4
frlietz,landeskulturratmeckpom,2
frlietz,ehrenamtsstiftungmeckpom,2
frlietz,zukunftshandelmeckpom,2
frlietz,kulturlandmeckpom,2
anbader,sportbundmeckpom,4
wohasselfeldt,hausundgrundmeckpom,4
wohasselfeldt,hausundgrundvereinrostock,2
najulitz,spdmeckpom,4
najulitz,spd,3
najulitz,landtagmeckpom,2
najulitz,awo,2
najulitz,mueritzhilft,2
diknecht,dbbmeckpom,4
diknecht,wuestenrot,2
diknecht,cdu,3
makrueger,vos,4
makrueger,stadtentsorgungrostock,2
makrueger,cdu,3
thkrueger,spdmeckpom,4
thkrueger,spd,3
thkrueger,landtagmeckpom,2
miroolf,unternehmensverbaendemeckpom,4
jeschlaupitz,caritaserzbistumhamburg,4
jeschlaupitz,telseelsorgemeckpom,2
jeschlaupitz,ligameckpom,2
joschmidt,heimatverbandmeckpom,4
joschmidt,integrativertreffrostock,2
joschmidt,vvnbdarostock,2
joschmidt,cdu,3
mepayandeh,ndr,1
libudde,ndr,1
fiabaci,ndr,1
febernard,ndr,1
kaelste,ndr,1
acengstler,ndr,1
utgottschaar,ndr,1
migruenberg,ndr,1
imhaake,ndr,1
huhebbelmann,ndr,1
cohoeltkemeier,ndr,1
otholtz,ndr,1
hajagau,ndr,1
ankramer,ndr,1
jekruse,ndr,1
utkueck,ndr,1
milanger,ndr,1
lamesch,ndr,1
jenacke,ndr,1
sipuppe,ndr,1
urrudnick,ndr,1
meschramme,ndr,1
clschueßler,ndr,1
diswinke,ndr,1
beunruh,ndr,1
kaibellstedt,ndr,1
gubecker,ndr,1
bebaeumer,ndr,1
tibrockmann,ndr,1
nifickinger,ndr,1
sishessler,ndr,1
jeleutert,ndr,1
flmatz,ndr,1
remueller,ndr,1
miott,ndr,1
kawulf,ndr,1
thkaerst,ndr,1
stszczupak,ndr,1
utbertrand,ndr,1
gabrasch,ndr,1
sagoldschmidt,ndr,1
evhubert,ndr,1
haschmidt,ndr,1
kaschroeder,ndr,1
antranziska,ndr,1
thvolkmann,ndr,1
anvoß,ndr,1
hemueller,ndr,1
frlietz,ndr,1
anbader,ndr,1
wohasselfeldt,ndr,1
najulitz,ndr,1
diknecht,ndr,1
makrueger,ndr,1
thkrueger,ndr,1
miroolf,ndr,1
jeschlaupitz,ndr,1
joschmidt,ndr,1
