id,name,sex,age,type,Arbeitgeber,job (Berufsbezeichnung),sector,party
smartlivinigandhealthcenter,Smart Living & Health Center e. V.,NA,NA,D,,NA,NA,
sorbischbrandenburg,Dachverbände der sorbischen/wendischen Verbände und Vereine im Land Brandenburg,NA,NA,D,,NA,NA,
stadtrat,Stadtrat,NA,NA,D,,NA,NA,
stadtreinigungberlin,Berliner Stadtreinigungsbetriebe,NA,NA,D,,NA,NA,
stiftungzukunftberlin,Stiftung Zukunft für Berlin,NA,NA,D,,NA,NA,
stromnetzberlin,Stromnetz Berlin,NA,NA,D,,NA,NA,
unicefberlin,Unicef Berlin,NA,NA,D,,NA,NA,
vakberlin,Verwaltungsakademie des Landes Berlin,NA,NA,D,,NA,NA,
verdi,vereinte Dienstleistungsgewerkschaft,NA,NA,D,,NA,NA,
wiberlin,Willkommen in Berlin e. V.: Diplomatenclub beim Auswärtigen Amt,NA,NA,D,,NA,NA,
widenthecircle,"Widen the Circle,Obermayer Foundation",NA,NA,D,,NA,NA
spd,SPD,NA,NA,C,,NA,NA,
cdu,CDU,NA,NA,C,,NA,NA,
afd,AfD,NA,NA,C,,NA,NA,
rbb,,,,,,,,
